Run Summary        (Smart Cycler 2.0d)
Run Name:,NON-SALM_BOIL_PREPS_1-10_RUN1
Started At:,"Mar 22, 2017 09:26 AM"
Number of Sites:,12

Cycle Data

Instrument A
,A1,A1,A1,A1,A1,A1,A2,A2,A2,A2,A2,A2,A3,A3,A3,A3,A3,A3,A4,A4,A4,A4,A4,A4,A5,A5,A5,A5,A5,A5,A6,A6,A6,A6,A6,A6,A7,A7,A7,A7,A7,A7,A8,A8,A8,A8,A8,A8,A9,A9,A9,A9,A9,A9,A10,A10,A10,A10,A10,A10,A11,A11,A11,A11,A11,A11,A12,A12,A12,A12,A12,A12
,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2
Cycle #,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2,FAM,FAM D2,TxR,TxR D2,Cy5,Cy5 D2
1,-7.692828910220214,0.0,-15.196240601503764,0.0,0.6387816387816388,0.0,-8.493693693693693,0.0,-10.24661654135338,0.0,0.6195195195195196,0.0,-2.836336336336337,0.0,-11.677056277056277,0.0,0.0,0.0,-0.9100815100815112,0.0,-4.571428571428572,0.0,-0.023080223080223082,0.0,-2.5323037323037334,0.0,-11.21904761904762,0.0,-0.009352209352209316,0.0,-2.4007293007293016,0.0,-1.2424242424242435,0.0,0.0,0.0,-13.9044187044187,0.0,-18.53538461538461,0.0,0.07717717717717716,0.0,-11.145130845130844,0.0,-12.309994353472607,0.0,0.012784212784212759,0.0,-6.7546546546546535,0.0,-5.1757575757575776,0.0,-0.34204204204204197,0.0,-4.586100386100384,0.0,-3.452813852813853,0.0,-0.07726297726297726,0.0,-8.536851136851137,0.0,-12.546583850931679,0.0,-0.2327327327327328,0.0,-0.023938223938221523,0.0,-9.491247882552226,0.0,-0.24199914199914196,0.0
2,-4.955392433653287,0.0,-10.115037593985011,0.0,0.6374946374946376,0.0,-3.6180180180180272,0.0,-4.713533834586488,0.0,0.6204204204204204,0.0,-1.3723723723723602,0.0,-7.635497835497842,0.0,0.0,0.0,0.06894036894038891,0.0,-2.000000000000017,0.0,-4.290004290004451E-5,0.0,0.5467181467181328,0.0,-5.319047619047643,0.0,0.011754611754611734,0.0,-2.4428142428142565,0.0,-0.17748917748917278,0.0,0.0,0.0,-10.890776490776515,0.0,-14.72692307692308,0.0,-0.8966966966966967,0.0,-9.253367653367668,0.0,-8.856013551665715,0.0,0.032861432861432886,0.0,-5.877177177177155,0.0,-5.496536796536807,0.0,-0.3132132132132132,0.0,-2.919305019305,0.0,-3.403463203463224,0.0,-0.07108537108537105,0.0,-6.579064779064789,0.0,-9.797289666854876,0.0,-0.19219219219219222,0.0,-0.8445302445302381,0.0,-7.093732354601922,0.0,-0.21265551265551264,0.0
3,-3.217955957086417,-18.75,-7.033834586466146,-25.0,0.6362076362076362,-6.25,-2.7423423423423614,-31.25,-3.1804511278195977,-31.25,0.6213213213213213,0.0,-1.9084084084083834,0.0,-4.593939393939405,-25.0,0.0,0.0,0.04796224796223214,0.0,-0.428571428571405,-18.75,0.022994422994422996,0.0,-0.3742599742600013,-6.25,-2.419047619047609,-43.75,0.032861432861433004,-6.25,-0.48489918489921136,-12.5,0.887445887445898,-12.5,0.0,0.0,-7.877134277134272,-18.75,-10.918461538461552,-18.75,0.12942942942942934,0.0,-7.361604461604435,0.0,-6.402032749858823,-12.5,0.05293865293865301,0.0,-4.999699699699714,0.0,-4.8173160173160365,12.5,-0.28438438438438424,0.0,-2.252509652509673,-12.5,-2.3541125541125383,0.0,-0.06490776490776495,0.0,-5.621278421278443,0.0,-8.047995482778074,-6.25,-0.15165165165165176,0.0,-0.6651222651222546,6.25,-5.696216826651618,0.0,-0.1833118833118833,0.0
4,-1.4805194805194901,-25.0,-3.9526315789473934,-25.0,0.634920634920635,-6.25,-1.8666666666666385,-6.25,-1.6473684210525932,-12.5,0.6222222222222222,0.0,-1.4444444444444635,6.25,-2.552380952380969,-18.75,0.0,0.0,1.0269841269841322,-12.5,1.1428571428571501,-18.75,0.04603174603174604,0.0,0.7047619047619216,0.0,-1.5190476190476319,-18.75,0.053968253968254054,-6.25,-0.5269841269841095,-12.5,0.9523809523809689,-12.5,0.0,0.0,-5.863492063492086,-12.5,-9.110000000000023,-6.25,0.15555555555555564,-12.5,-5.46984126984126,-12.5,-3.9480519480519303,-18.75,0.07301587301587313,0.0,-5.122222222222216,12.5,-3.1380952380952665,-6.25,-0.2555555555555555,0.0,-2.585714285714289,6.25,-2.3047619047619095,0.0,-0.058730158730158744,0.0,-4.663492063492039,0.0,-5.29870129870127,-12.5,-0.11111111111111119,0.0,-0.4857142857142711,0.0,-3.298701298701314,-12.5,-0.15396825396825398,0.0
5,-1.743083003952563,0.0,-2.8714285714285275,-12.5,-0.36636636636636627,6.25,-1.9909909909909727,6.25,-1.1142857142857026,-6.25,0.6231231231231231,-6.25,-0.9804804804804869,0.0,-1.5108225108225326,-12.5,0.0,0.0,1.0060060060060323,-12.5,0.7142857142857053,-6.25,0.06906906906906907,0.0,0.7837837837837875,-6.25,-0.6190476190475976,-12.5,-0.9249249249249248,12.5,-0.5690690690690644,0.0,1.0173160173160398,-6.25,0.0,0.0,-4.849849849849844,-6.25,-6.301538461538494,0.0,0.18168168168168172,0.0,-3.5780780780780854,-18.75,-2.494071146245038,-18.75,0.09309309309309326,0.0,-3.2447447447447173,0.0,-2.458874458874439,0.0,-0.22672672672672675,0.0,-1.918918918918905,6.25,-1.2554112554112806,0.0,-0.052552552552552534,0.0,-2.7057057057056926,-12.5,-4.549407114624468,-6.25,-0.07057057057057062,-6.25,-0.30630630630628763,0.0,-1.9011857707510098,-18.75,-0.12462462462462465,0.0
6,-2.005646527385636,18.75,-1.7902255639097755,0.0,-0.3676533676533677,6.25,-1.1153153153153068,0.0,-0.581203007518812,0.0,0.624024024024024,-6.25,-0.5165165165165101,-6.25,-0.4692640692640964,-6.25,0.0,0.0,-0.014972114972124473,6.25,1.2857142857142605,-12.5,0.0921063921063921,0.0,0.8628056628056535,0.0,-0.7190476190476204,0.0,-0.9038181038181038,12.5,-0.6111540111540193,0.0,0.08225108225105374,6.25,0.0,0.0,-2.8362076362076585,-12.5,-4.493076923076965,-12.5,-0.7921921921921922,6.25,-3.68631488631491,-6.25,-2.0400903444381453,-6.25,0.11317031317031294,0.0,-2.367267267267276,-6.25,-1.7796536796536686,6.25,-0.19789789789789777,0.0,-1.252123552123578,-6.25,-1.206060606060595,0.0,-0.046374946374946324,0.0,-2.747919347919346,-6.25,-2.8001129305476655,0.0,-0.03003003003003005,0.0,-0.12689832689830416,0.0,-1.5036702428007056,-6.25,-0.09528099528099532,0.0
7,-0.2682100508187659,0.0,-0.7090225563910233,-6.25,-0.3689403689403689,0.0,-0.239639639639641,-6.25,-0.04812030075192141,-6.25,-0.37507507507507504,12.5,-0.05255255255253327,-12.5,-0.42770562770560333,0.0,0.0,0.0,-0.035950235950224396,6.25,0.8571428571428725,-6.25,0.11514371514371516,0.0,0.9418275418275195,-12.5,-0.8190476190476431,6.25,0.1172887172887172,-6.25,-0.6532389532389743,6.25,0.14718614718612458,6.25,0.0,0.0,-2.822565422565416,-6.25,-1.6846153846154361,-25.0,0.23393393393393389,-6.25,-2.794551694551678,0.0,-1.5861095426312528,0.0,0.13324753324753308,0.0,-1.4897897897897776,0.0,-0.10043290043289801,-6.25,-0.16906906906906902,0.0,-0.5853281853281942,-6.25,-0.15670995670996604,-6.25,-0.040197340197340226,0.0,-1.790132990132999,0.0,-2.0508187464709766,0.0,-0.9894894894894894,12.5,0.05250965250967933,-6.25,-1.1061547148504014,6.25,-0.06593736593736599,0.0
8,0.4692264257481611,-12.5,0.37218045112784265,-12.5,-0.3702273702273701,0.0,-0.3639639639639751,0.0,0.48496240601502605,-6.25,-0.37417417417417415,12.5,-0.5885885885886134,0.0,0.613852813852833,-6.25,0.0,0.0,-0.05692835692838116,-6.25,-0.5714285714285723,12.5,0.1381810381810382,-6.25,1.0208494208494423,-6.25,0.08095238095239096,-6.25,0.13839553839553848,-6.25,-0.6953238953238724,6.25,0.21212121212119542,-6.25,0.0,0.0,-1.80892320892323,0.0,-1.8761538461537934,0.0,-0.73993993993994,6.25,-2.902788502788503,12.5,-1.1321287408243603,6.25,0.1533247533247532,-6.25,-0.6123123123123362,-6.25,0.5787878787878725,-6.25,-0.14024024024024026,0.0,-0.9185328185328103,6.25,-0.10735930735928037,0.0,-0.034019734019734016,0.0,-1.8323466323466522,6.25,-0.30152456239417397,-12.5,0.05105105105105109,0.0,0.23191763191760595,-6.25,-0.7086391869000972,6.25,-0.03659373659373644,0.0
