Run Summary        (Smart Cycler 2.0d)
Run Name:,SALM_DILUTION_SERIES_1
Started At:,"Mar 14, 2017 09:36 AM"
Number of Sites:,10

Cycle Data

Instrument C
,C1,C1,C1,C1,C2,C2,C2,C2,C3,C3,C3,C3,C4,C4,C4,C4,C5,C5,C5,C5,C6,C6,C6,C6,C7,C7,C7,C7,C8,C8,C8,C8,C9,C9,C9,C9,C10,C10,C10,C10
,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2
Cycle #,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2
1,-7.617165443252399,0.0,-15.127941176470586,0.0,-11.1984126984127,0.0,-6.5,0.0,-7.5366357069143435,0.0,-15.088235294117645,0.0,-10.601919819311123,0.0,-21.149638802889573,0.0,-11.990769230769232,0.0,-19.088235294117645,0.0,-2.6059113300492527,0.0,-4.852941176470583,0.0,-9.476231884057968,0.0,-19.794117647058826,0.0,-9.356869184455393,0.0,-8.593051255589959,0.0,-11.025806451612905,0.0,-13.341176470588266,0.0,-1.841570141570144,0.0,-4.117647058823529,0.0
2,-4.627893845285125,0.0,-10.410294117647027,0.0,-9.246031746031736,0.0,-5.580882352941217,0.0,-5.893704850361179,0.0,-11.389705882352892,0.0,-8.046301524562383,0.0,-15.537667698658371,0.0,-6.3200000000000065,0.0,-10.639705882352892,0.0,-1.8251231527093523,0.0,-2.1151960784313566,0.0,-2.528840579710136,0.0,-7.585784313725455,0.0,-6.740558292282418,0.0,-5.994496044031681,0.0,-8.438709677419379,0.0,-4.594117647058852,0.0,-0.9070785070785227,0.0,-0.867647058823529,0.0
3,-2.638622247317907,-18.75,-6.692647058823582,-25.0,-8.293650793650773,-6.25,-5.6617647058823195,12.5,-4.250773993808072,0.0,-7.691176470588253,-18.75,-5.4906832298136425,-12.5,-10.925696594427283,-25.0,-4.649230769230782,-31.25,-7.191176470588253,-43.75,-1.044334975369452,-6.25,-1.3774509803921298,-18.75,-0.5814492753623041,-50.0,-3.3774509803921973,-87.5,-6.124247400109499,-6.25,-5.39594083247329,0.0,-6.851612903225796,-12.5,-1.8470588235294372,-75.0,-0.9725868725869012,0.0,-0.617647058823529,-18.75
4,-1.6493506493506327,-12.5,-3.9750000000000227,-25.0,-7.341269841269866,6.25,-3.742647058823536,6.25,-3.6078431372549074,0.0,-5.992647058823501,-6.25,-3.935064935064959,-12.5,-8.31372549019608,-6.25,-2.9784615384615587,-6.25,-4.742647058823501,-18.75,-1.2635467980295516,6.25,-0.6397058823529598,0.0,0.36594202898552786,-18.75,-2.169117647058826,-18.75,-4.507936507936523,6.25,-2.797385620915012,-12.5,-5.26451612903227,-6.25,-1.1000000000000227,-31.25,-1.0380952380952229,12.5,0.632352941176471,-12.5
5,-0.660079051383415,-6.25,-2.257352941176464,-12.5,-6.388888888888903,6.25,-2.8235294117647527,-6.25,-0.9649122807017434,-18.75,-3.2941176470588616,-6.25,-2.379446640316219,-12.5,-4.701754385964879,-12.5,-2.3076923076923346,-6.25,-2.2941176470588616,-18.75,-0.48275862068965125,-6.25,-0.9019607843137329,6.25,0.3133333333333598,-12.5,-0.9607843137254548,-12.5,-3.891625615763547,0.0,-2.1988304093567344,-6.25,-4.677419354838687,0.0,-2.3529411764706083,6.25,-0.1036036036036015,-6.25,-0.117647058823529,0.0
6,-0.6708074534161407,-6.25,-1.539705882352905,-6.25,-4.436507936507939,0.0,-0.9044117647058556,-12.5,-1.3219814241485792,-6.25,-1.5955882352941089,-12.5,-1.8238283455674789,0.0,-2.0897832817337907,-25.0,-0.6369230769230535,-18.75,-1.8455882352941089,-6.25,0.2980295566502491,-12.5,0.8357843137254939,-6.25,0.26072463768113485,0.0,0.24754901960780273,-12.5,-1.2753147235905713,-12.5,-1.6002751977984564,6.25,-3.0903225806451604,0.0,-2.605882352941194,25.0,0.8308880308880199,-12.5,0.132352941176471,6.25
7,0.3184641445510768,-6.25,0.17794117647054009,-12.5,-3.484126984126976,-6.25,-0.9852941176470722,0.0,-0.6790505675954719,6.25,0.10294117647064382,-12.5,-1.2682100508187388,0.0,-0.47781217750258853,-18.75,-0.9661538461538294,-6.25,-0.3970588235293562,-6.25,-0.9211822660098505,6.25,0.5735294117647207,-6.25,-0.7918840579710332,18.75,-0.544117647058826,0.0,-1.6590038314176523,-6.25,-0.0017199862400649876,-12.5,-2.5032258064516344,12.5,-1.8588235294117794,25.0,-0.23462033462035867,6.25,0.382352941176471,-6.25
8,-0.6922642574816488,6.25,-0.10441176470590108,0.0,-1.5317460317460132,-6.25,-0.0661764705882888,6.25,-0.03611971104230767,0.0,0.8014705882352828,-12.5,0.2874082439300012,-12.5,0.1341589267286134,-6.25,-1.2953846153846051,12.5,0.05147058823528283,-6.25,-0.14039408866995018,0.0,1.3112745098039476,-6.25,0.15550724637679866,6.25,0.6642156862745452,0.0,-0.042692939244676396,-6.25,0.5968352253182128,-12.5,-0.9161290322580518,6.25,-0.11176470588236498,12.5,0.6998712998713196,0.0,0.632352941176471,-6.25
9,0.29700734048562555,0.0,0.6132352941176578,0.0,-1.5793650793651068,0.0,0.8529411764706083,-6.25,0.6068111455108565,-6.25,1.5000000000000355,-6.25,-0.1569734613212588,0.0,0.7461300309597017,0.0,-0.6246153846153811,6.25,0.5000000000000355,0.0,-0.3596059113300498,0.0,1.0490196078431175,-12.5,1.1028985507246305,-12.5,-0.12745098039219727,0.0,-0.4263820470717005,-6.25,0.1953904368764905,6.25,1.6709677419354743,-25.0,2.6352941176470495,-25.0,0.634362934362941,-6.25,-0.117647058823529,6.25
10,0.2862789384528431,-6.25,1.3308823529412166,-6.25,0.3730158730158564,-6.25,1.7720588235293917,-12.5,1.2497420020639638,-6.25,1.1985294117646745,0.0,0.3986448334274244,6.25,1.3581011351909036,0.0,0.046153846153843006,0.0,0.9485294117646745,0.0,-0.5788177339901495,6.25,0.7867647058823444,-6.25,1.0502898550724624,-18.75,1.080882352941174,-6.25,0.1899288451012753,6.25,0.7939456484347682,0.0,2.2580645161290573,-25.0,4.382352941176464,-50.0,0.5688545688545624,6.25,0.132352941176471,0.0
