Run Summary        (Smart Cycler 2.0d)
Run Name:,SALM_SAMPLES1-5_DIL_SER_1
Started At:,"Mar 15, 2017 10:45 AM"
Number of Sites:,22

Cycle Data

Instrument A
,A1,A1,A1,A1,A2,A2,A2,A2,A3,A3,A3,A3,A4,A4,A4,A4,A5,A5,A5,A5,A6,A6,A6,A6,A7,A7,A7,A7,A8,A8,A8,A8,A9,A9,A9,A9,A10,A10,A10,A10,A11,A11,A11,A11,A12,A12,A12,A12,A13,A13,A13,A13,A14,A14,A14,A14,A15,A15,A15,A15,A16,A16,A16,A16
,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2
Cycle #,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2,FAM,FAM D2,TxR,TxR D2
1,2.298136645962732,0.0,-11.362637362637363,0.0,-3.2510081510081528,0.0,-2.4708624708624813,0.0,-1.205882352941174,0.0,-16.26911764705882,0.0,-0.641353383458648,0.0,-8.320879120879122,0.0,-2.450592885375494,0.0,-4.261764705882365,0.0,-5.867928367928366,0.0,-12.5,0.0,-1.8476190476190482,0.0,-8.433823529411772,0.0,-3.8350877192982455,0.0,-1.382352941176471,0.0,-8.016374929418408,0.0,-4.154411764705886,0.0,-9.794871794871797,0.0,-10.382352941176471,0.0,-3.32352941176471,0.0,-9.0,0.0,-4.974436090225562,0.0,-19.764705882352942,0.0,-11.124347826086955,0.0,-13.294117647058812,0.0,-5.664224664224662,0.0,-11.176470588235297,0.0,-5.5,0.0,-4.088235294117659,0.0,-10.042105263157898,0.0,-15.802941176470577,0.0
2,3.0299265951439662,0.0,-5.741758241758295,0.0,-0.32977262977262206,0.0,-2.096736596736615,0.0,0.21323529411766629,0.0,-10.104411764705917,0.0,-1.5345864661654338,0.0,-4.997802197802239,0.0,-0.35968379446642923,0.0,-1.3911764705882432,0.0,-3.9955229955230127,0.0,-9.325980392156907,0.0,-1.8190476190476375,0.0,-5.080882352941163,0.0,-2.7263157894736754,0.0,-0.409313725490172,0.0,-5.560700169395819,0.0,-3.1029411764706385,0.0,-8.273504273504303,0.0,-8.090686274509842,0.0,-1.620098039215705,0.0,-3.0,0.0,-3.202255639097724,0.0,-11.725490196078468,0.0,-7.858260869565208,0.0,-7.857843137254946,0.0,-2.8473748473748515,0.0,-9.460784313725462,0.0,-3.625,0.0,-0.399509803921525,0.0,-8.273684210526303,0.0,-10.385294117647087,0.0
3,2.761716544325257,-6.25,-3.1208791208791147,-31.25,0.5914628914629085,-18.75,-0.7226107226107491,0.0,1.6323529411764497,-25.0,-5.939705882352897,-37.5,-0.4278195488721628,6.25,-2.674725274725242,-25.0,0.7312252964426927,-12.5,0.4794117647058783,-25.0,-3.1231176231176025,-6.25,-6.151960784313701,-18.75,-0.7904761904761699,6.25,-3.7279411764705555,-6.25,-2.617543859649105,6.25,-0.43627450980387295,-6.25,-4.10502540937323,-12.5,-2.0514705882352775,-12.5,-6.75213675213675,0.0,-6.7990196078431,0.0,-0.916666666666643,-12.5,0.0,-56.25,-1.4300751879699432,-18.75,-8.68627450980388,-37.5,-6.592173913043461,-12.5,-6.4215686274509665,-18.75,-2.030525030525041,-6.25,-6.7450980392157405,-6.25,-1.75,-18.75,1.2892156862744955,-43.75,-5.505263157894764,-6.25,-6.967647058823483,-31.25
4,2.4935064935064912,-6.25,-1.5000000000000473,-12.5,1.512698412698439,-12.5,-0.3484848484848829,-6.25,1.05147058823529,-12.5,-3.7749999999999924,-18.75,-0.3210526315789486,0.0,-1.351648351648359,-12.5,1.8221343873517577,-12.5,0.35,-6.25,-2.2507122507122492,0.0,-4.977941176470608,-6.25,0.2380952380952408,-12.5,-1.3750000000000606,-12.5,-0.5087719298245348,-12.5,-0.4632352941176876,6.25,-3.649350649350641,0.0,-2.00000000000003,-6.25,-5.230769230769256,-6.25,-4.507352941176471,-6.25,-0.21323529411763786,-12.5,0.0,-18.75,-1.6578947368421053,0.0,-6.647058823529406,0.0,-5.326086956521714,0.0,-3.9852941176471006,-6.25,-0.21367521367523068,-18.75,-6.029411764705905,0.0,-0.875,-18.75,0.9779411764706296,-12.5,-3.7368421052631695,-12.5,-4.549999999999993,-12.5
5,2.2252964426877253,-6.25,0.12087912087913348,-18.75,1.4339339339339128,-6.25,1.0256410256409831,-18.75,0.4705882352941302,6.25,-1.6102941176470873,-18.75,0.7857142857142656,-6.25,-1.0285714285714762,0.0,1.9130434782608796,-12.5,1.2205882352941217,-6.25,-1.3783068783068957,0.0,-2.803921568627402,0.0,1.2666666666666515,-18.75,-0.022058823529452334,-18.75,-0.40000000000002145,-12.5,-0.49019607843138857,6.25,-2.193675889328052,-6.25,-1.9485294117646694,6.25,-3.7094017094017047,0.0,-3.2156862745098422,-6.25,-0.5098039215686327,0.0,0.0,0.0,-0.8857142857142675,0.0,-3.6078431372549318,-18.75,-4.0600000000000245,0.0,-2.549019607843121,-12.5,0.6031746031745797,-31.25,-3.31372549019607,-6.25,-1.0,6.25,-0.3333333333333499,12.5,-1.9684210526315742,-12.5,-3.1323529411765016,-6.25
6,0.9570863918690163,6.25,0.7417582417582006,-18.75,1.3551694551694433,-6.25,0.3997668997668494,-6.25,-0.11029411764702957,6.25,-0.4455882352940686,-18.75,0.8924812030075366,-12.5,0.2945054945055202,-12.5,2.003952569169945,-12.5,1.0911764705882434,-12.5,-0.5059015059014856,-6.25,-1.6299019607843093,-6.25,0.29523809523811906,-6.25,0.330882352941156,-12.5,-0.29122807017545127,-6.25,0.48284313725491046,-6.25,-1.7380011293054627,-6.25,-1.8970588235294221,12.5,-3.18803418803421,6.25,-1.9240196078430998,0.0,-0.8063725490196276,12.5,0.0,0.0,-0.11353383458648643,-6.25,-1.568627450980344,-25.0,-2.7939130434782777,-6.25,-1.1127450980392553,-12.5,-0.579975579975553,0.0,-2.598039215686235,0.0,-1.125,12.5,0.35539215686278425,6.25,-1.199999999999979,-12.5,-0.7147058823528974,-18.75
7,0.6888763410502504,0.0,0.3626373626373815,-6.25,1.2764049764049739,-6.25,-0.2261072261072844,6.25,0.30882352941175384,-6.25,-0.28088235294116354,-6.25,0.9992481203007508,-6.25,0.6175824175824031,-6.25,1.0948616600790666,-6.25,0.961764705882365,-6.25,0.3665038665038677,-6.25,0.5441176470587834,-12.5,0.32380952380952976,6.25,0.6838235294117643,-12.5,-0.18245614035088112,0.0,0.4558823529412095,-6.25,-1.2823263692828737,6.25,-0.8455882352941747,6.25,-0.6666666666666583,-12.5,-0.632352941176471,-6.25,-0.10294117647056567,0.0,0.0,0.0,-0.3413533834586486,0.0,-1.5294117647058698,12.5,-1.527826086956531,-12.5,-0.6764705882352757,-6.25,-1.7631257631257427,25.0,-0.8823529411765136,6.25,0.75,-12.5,0.04411764705880472,-6.25,-0.4315789473684409,-6.25,-0.2970588235294069,-12.5
8,0.42066629023148444,0.0,-0.01648351648355136,0.0,0.19764049764050437,6.25,0.14801864801869546,-6.25,-0.2720588235294059,0.0,-0.11617647058825847,6.25,0.10601503759396505,6.25,-0.05934065934071406,0.0,0.18577075098813173,6.25,-0.16764705882351336,6.25,0.23890923890922103,-6.25,0.7181372549019898,-12.5,-0.6476190476190595,6.25,0.03676470588237256,0.0,-1.073684210526311,12.5,0.42892156862739483,-6.25,-0.8266516092602847,6.25,0.2058823529411863,-6.25,-0.14529914529916368,-18.75,0.6593137254901578,-12.5,0.6004901960784395,-6.25,0.0,0.0,0.43082706766918927,-6.25,-0.4901960784313957,6.25,-1.2617391304347843,0.0,-0.2401960784314099,0.0,-0.9462759462759323,0.0,0.8333333333333215,-18.75,0.625,-18.75,0.7328431372549389,-6.25,-0.6631578947368458,0.0,0.12058823529408376,0.0
9,-0.8475437605872246,12.5,-0.3956043956043705,6.25,0.11887601887603491,0.0,-0.47785547785543836,0.0,-0.8529411764705657,12.5,0.04852941176476027,6.25,0.21278195488723609,6.25,1.2637362637362826,-12.5,-0.7233201581027463,18.75,-0.2970588235293917,6.25,1.1113146113146313,-12.5,1.8921568627450824,-12.5,0.380952380952408,-6.25,-0.6102941176470191,12.5,0.03508771929825924,0.0,0.40196078431369386,-6.25,0.6290231507623043,-6.25,1.2573529411764335,-12.5,0.37606837606838783,-6.25,0.9509803921569002,-6.25,0.30392156862744457,-6.25,0.0,0.0,0.20300751879697027,0.0,2.549019607843192,-31.25,-0.9956521739130375,12.5,0.19607843137256964,0.0,-0.12942612942612186,-12.5,2.5490196078431566,-31.25,0.5,0.0,-0.5784313725490406,6.25,0.10526315789474931,0.0,0.5382352941176881,0.0
10,-0.11575381140599054,0.0,-0.7747252747253034,6.25,0.040111540111565445,-6.25,-1.1037296037295723,12.5,-0.43382352941178226,6.25,1.2132352941176654,-12.5,0.31954887218045025,-6.25,-0.4131868131868347,6.25,-0.6324110671936812,6.25,-0.42647058823527006,0.0,-0.016280016280015495,0.0,1.0661764705882888,0.0,-0.5904761904761813,0.0,-0.2573529411765245,6.25,0.14385964912282942,-6.25,-0.6250000000000071,6.25,1.0846979107848933,-12.5,1.3088235294117945,-6.25,-0.10256410256411755,6.25,1.242647058823529,-6.25,1.0073529411764497,-6.25,0.0,0.0,-0.024812030075191904,6.25,1.5882352941176663,-12.5,0.2704347826087092,0.0,0.6323529411764355,0.0,-1.3125763125763115,12.5,1.2647058823529918,6.25,-0.625,18.75,0.11029411764709351,6.25,-0.12631578947371244,6.25,0.9558823529411787,0.0
11,-0.3839638622247565,-6.25,-0.15384615384612252,0.0,-1.0386529386529608,6.25,-0.729603729603706,6.25,-0.014705882352942012,-6.25,1.3779411764705705,-12.5,0.42631578947366444,-12.5,-0.09010989010983814,12.5,0.45849802371544063,-12.5,-0.5558823529411484,0.0,-0.14387464387466217,6.25,1.2401960784313815,0.0,-0.5619047619047706,6.25,0.09558823529408376,-6.25,0.2526315789473428,0.0,-0.6519607843137081,12.5,1.5403726708074255,-6.25,1.3602941176470418,0.0,0.41880341880343397,6.25,1.5343137254901578,-6.25,-0.28921568627448835,6.25,0.0,0.0,0.7473684210526459,-6.25,1.6274509803921404,6.25,1.536521739130456,-12.5,1.068627450980415,0.0,-0.49572649572650107,6.25,0.9803921568627132,12.5,0.25,0.0,-0.200980392156886,0.0,0.6421052631578826,0.0,1.3735294117646693,-6.25
12,-0.6521739130434655,6.938893903907228E-16,-0.5329670329670554,-7.114100974980886E-13,-1.1174174174174303,6.25,-0.35547785547783983,-5.204170427930421E-16,0.40441176470589824,-6.25,0.5426470588234754,6.25,-0.4669172932330645,-3.469446951953614E-16,0.2329670329670447,-12.499999999999291,-0.4505928853754943,3.5457747848965937E-13,-0.6852941176470267,-8.673617379884035E-16,-0.27146927146925204,12.5,1.4142156862744741,-12.500000000000714,-0.5333333333333599,8.239936510889834E-16,0.4485294117646921,-12.500000000000004,0.36140350877191296,6.250000000000355,-0.678921568627409,6.25,0.9960474308300145,1.6479873021779667E-15,1.4117647058824028,-6.250000000000002,0.9401709401709286,6.938893903907228E-16,0.8259803921569002,12.5,0.41421568627451677,6.25,0.0,0.0,0.5195488721804269,-6.250000000000355,1.6666666666666146,-1.3877787807814457E-15,1.8026086956522027,-6.25,1.5049019607842808,-7.107162081076979E-13,0.3211233211233093,-6.2499999999996465,2.6960784313725483,-18.75000000000071,1.125,-12.5,0.48774509803924815,-6.24999999999929,1.4105263157894778,-6.249999999999645,1.7911764705882736,-12.5
