Date,File#,Puff site#,Exposure (ms),Recording Length (ms),Flash Length (ms),Start frame of Flash,Start time of Flash (ms),No. of events at site,Max Amp at site,centroid_x (pixels),centoid_y (pixels),t_peak (frames),t_peak (ms),Amplitude (DF/F0),sigmax,sigmay,angle
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.4274350303,62.7923200527,973,4865,0.6720622194,4.1121048316,2.6219330881,72.1777671836
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.8897121399,62.0210744594,1352,6760,0.5864651588,3.0753759082,4.0767397088,0.0004292135
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.5024106993,62.5011735394,1726,8630,0.633952799,4.6759606823,3.246435404,75.2118408383
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.0975569178,66.2334545623,2101,10505,0.5303988912,7.3709358854,3.711725388,84.6028036774
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,86.3516336547,66.2106043799,2275,11375,0.2229472593,6.6775100604,8.9864046964,45.6432153786
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.5250788976,65.1985709717,2302,11510,0.0281247409,9.9984044966,5.5835481437,89.9999181173
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.2228068964,64.2722112207,2450,12250,0.4021495032,6.0499259695,3.1942480875,74.9137478964
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.6348587857,62.1429296752,2668,13340,0.6199866019,3.2881482375,4.175270424,5.3267757969544E-005
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.5140892057,62.0020976935,2886,14430,0.2441576577,3.7345190889,2.5610046537,65.0400681247
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,88.3176471123,62.1883794189,3144,15720,0.373752622,8.2806692908,6.4624706815,89.8398904565
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.5375732472,61.930233661,3434,17170,0.3666459577,4.4180790618,3.1369843287,72.0738489672
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.8139804145,61.9598708988,3633,18165,0.5437901858,4.3936891526,3.1597638096,69.6270171691
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,87.5621884473,59.7841281951,3796,18980,0.1706156616,7.4217825754,5.9759783177,88.955132304
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,90.3785645197,63.2912696077,3951,19755,0.0699699827,3.9639540319,3.2753480426,9.8123087108
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.7414205559,62.0434742913,4102,20510,0.4646745315,4.3859354628,3.113582025,74.7292301674
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,85.1988099371,65.7945666941,4390,21950,0.1103926756,4.3196239341,4.8935622363,87.2135281973
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,90.0407864857,61.6184640733,4688,23440,0.5324691604,4.1406500831,2.5368202712,66.5566482122
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.8099695698,64.1373923061,4964,24820,0.3186331651,2.0000001201,4.1167014645,22.365403252
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.0496506562,63.6052569659,4973,24865,0.1855828695,3.7741312673,5.2886779041,0.000001384
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,87.9126119767,63.2704318756,5286,26430,0.2027324662,7.328557228,5.119120894,51.6680249152
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,89.3559446122,63.6923073022,5734,28670,0.1433082226,3.5655966598,3.0380145942,46.6421903514
1107,1,1.001,5,24920,500,850,4250,22,0.6720622194,88.8299285567,61.9751070872,5934,29670,0.4322594955,5.4866472635,3.5905451429,70.0075771907
1107,1,1.002,5,24920,500,850,4250,7,0.3601987252,88.7945287009,69.6487259994,2825,14125,0.1465208135,2.7906569826,4.340399168,21.7202839387
1107,1,1.002,5,24920,500,850,4250,7,0.3601987252,88.7476273013,70.5919507805,2984,14920,0.1697909633,2.8756900023,5.042526266,24.1049628458
1107,1,1.002,5,24920,500,850,4250,7,0.3601987252,88.7032335084,70.4456937818,3252,16260,0.1943622286,2.0289997618,2.8515009464,7.3931050832
1107,1,1.002,5,24920,500,850,4250,7,0.3601987252,89.1948528043,69.4142594306,4289,21445,0.2275550624,2.2522490079,2.0066552808,25.7158422873
1107,1,1.002,5,24920,500,850,4250,7,0.3601987252,86.4896317365,69.9385435843,4360,21800,0.1350601212,5.5948894454,6.1960064177,5.9675843575
1107,1,1.002,5,24920,500,850,4250,7,0.3601987252,88.9229939226,66.8820718824,4547,22735,0.3601987252,3.0163776192,6.374251081,0.0007195591
1107,1,1.002,5,24920,500,850,4250,7,0.3601987252,88.2918244374,70.0481545572,5126,25630,0.2170465956,2.5646552271,3.6961700551,19.0348083989
1107,1,1.003,5,24920,500,850,4250,1,0.0928598069,58.9511446961,90.8433546448,1121,5605,0.0928598069,2.0001616947,2.0008245273,86.0757632525
1107,1,1.004,5,24920,500,850,4250,7,0.1596650279,38.8278118536,85.242986424,1127,5635,0.065620546,6.8033985376,4.6743951816,27.6893952987
1107,1,1.004,5,24920,500,850,4250,7,0.1596650279,40.4766067846,85.8347241217,2211,11055,0.1096661388,8.5039773363,7.5144173106,73.5085713031
1107,1,1.004,5,24920,500,850,4250,7,0.1596650279,40.1379013778,84.2767710732,2290,11450,0.1159343056,5.0974427383,3.8061984034,38.3368889334
1107,1,1.004,5,24920,500,850,4250,7,0.1596650279,39.7916528968,85.1334725591,2942,14710,0.0719327886,5.3852568906,4.2460972276,25.3484416187
1107,1,1.004,5,24920,500,850,4250,7,0.1596650279,40.0715148103,85.9446206685,4026,20130,0.1220119505,6.1366897082,7.2185533904,82.9601994277
1107,1,1.004,5,24920,500,850,4250,7,0.1596650279,39.7887778214,86.358334656,5625,28125,0.1596650279,5.4140532216,4.1808079831,55.9427206871
1107,1,1.004,5,24920,500,850,4250,7,0.1596650279,40.9172049445,84.4947925993,5697,28485,0.0968812276,5.7319556554,4.2019765103,55.4662539064
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.6804158946,54.1698667472,1223,6115,0.6630433255,3.5796379072,3.764634005,61.5870839042
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.3274542215,53.4567656435,2404,12020,0.6134571561,4.1696611299,4.6492436816,45.3307136129
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.8266053772,53.7335891004,2707,13535,0.4616302827,4.1968538955,4.0570544163,89.999985006
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.4595905127,53.9707948833,3257,16285,0.5025088117,3.752711304,3.8555710621,12.1300445252
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.7839746678,54.1206720847,3883,19415,0.4786559291,3.8156199711,4.1251924261,11.9654427626
1107,1,1.005,5,24920,500,850,4250,6,0.6630433255,51.7834115938,53.9200474364,4456,22280,0.5218249697,3.4684342969,3.6918473271,32.8726036866
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,34.8406304053,121.0666206977,1252,6260,0.3554914476,3.1212438433,4.4123181475,30.7633264038
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,34.5195024116,120.0480438518,1263,6315,0.0695605007,3.1135807623,5.4963453823,56.5111779943
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,35.858333998,124.4276053765,1983,9915,0.2041291193,2.2414596095,3.9462098135,89.9999881595
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,35.2547940656,121.9737177133,2085,10425,0.4494795082,3.1388829423,3.9594740701,16.1751681095
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,34.3558754419,119.9944480542,2835,14175,0.1923162706,2.7232697403,3.5886790003,41.15788824
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,35.0714528948,120.9784066161,3122,15610,0.4340647236,3.3389931361,3.9728755559,26.2791492388
1107,1,1.006,5,24920,500,850,4250,8,0.4494795082,33.9733159333,119.5325109414,5078,25390,0.2277273794,2.0000021605,2.0000027923,81.7491984516
