project,inwr,hnwr,cvca,ahav,pratt,tooth,preserve,tribal,ahakhav,bend,planet,ranch,pver,pintail,overton,floyd,emerald,achii,dandy,blankenship,golden,pulpit,palo,gila,muddy,william,havasu,cibola,paz,butler,mcallister,laguna,mohave,alamo,bubbling,dexter,mead,davis,senator,yuma,imperial,moabi,needles,beal
abiotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001634432,0.002179243,0,0,0.001089621,0.002179243,0,0,0,0,0.001634432,0,0,0,0,0,0,0.002179243,0,0,0.000817216,0.002724053
b1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004393376,0,0.001013856,0,0,0,0,0.004055424,0,0,0,0
bhco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00019442,0,0,0.002981109,0,0,0,0,0,0,0.006999125,0,0,0.00019442,0,0,0,0,0,0,0
c10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000643604,0,0.000643604,0.003218021,0,0,0.000643604,0.000643604,0,0,0,0,0.002413516,0,0.008045052,0.000643604,0,0,0,0.001930813,0.000643604,0,0.000643604,0
c11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025813113,0,0,0.002065049,0,0,0,0,0,0.00464636,0,0,0.017036655,0,0.006195147,0,0.003097574,0,0,0,0
c12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000270514,0,0.000270514,0.000721371,0,0,0.000270514,0.000270514,0,0,0,0,0.022227232,0,0,0,0.000405771,0.000721371,0,0.003471596,0.000270514,0,0.000270514,0
c13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005707836,0,0,0,0,0,0,0,0,0,0.022089649,0,0,0,0,0,0,0,0,0,0,0,0.077716866,0,0,0,0,0,0,0
c14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001182033,0,0.001182033,0.014775414,0,0.002364066,0.00177305,0.001182033,0,0,0,0,0.003546099,0,0,0.0393026,0,0,0,0.003546099,0.001182033,0,0.001477541,0
c15,0,0,0,0,0,0,0,0,0,0.001498127,0,0,0,0,0,0,0,0,0,0,0.000468165,0.000280899,0.000374532,0.001498127,0,0,0.001310861,0.000374532,0,0,0,0,0.001966292,0,0,0,0.000280899,0.006086142,0,0.001404494,0.000374532,0.000561798,0.001310861,0
c16,0,0,0,0,0,0,0.001115133,0,0,0,0,0,0,0,0,0,5.48E-05,0.000255932,0.000127966,0,0,0,0,0.000438741,0,0,0.002376513,0.000164528,0,0,0,0,0.0029615,0,7.31E-05,0.001023729,0,0.001407627,0,0.000658111,0,0.00020109,0,0
c17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000462535,0,0,0,0.000578168,0,0.014107308,0,0.000462535,0,0,0
c19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000617284,0,0,0
c21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000309629,0,0,0,0,0,0,0.000412839,0,0,0,0
c22,0,0,0,0,0.000281114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67E-05,0.010375671,0,0,0,0.00184002,0,0,0,0.000102223,0.000102223,0,0,0,0,0,0,0.000255558,0.0019678,0,0,0
c23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000463945,0,0,0,0,0,0.001656946,0,0,0,0,0.000795334,0,0.000265111,0,0,0.002120891,0
c24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000487948,0,0,0,0,0,0,0,0,0.000292769,0,0,0,0,0,0,0.001659022,0.000975895,0,0,0
c25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000723365,0,0.000516689,0.001860081,0,0,0.000620027,0.000516689,0,0,0,0,0.002170094,0,0,0,0,0,0,0.002790121,0.01653405,0,0.000516689,0
c26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040638,0,0,0,0,0,0,0,0,0.001422331,0,0,0,0.006197298,0,0,0.00060957,0,0,0,0
c27,0,0,0,0,0,0,0,0,0,0,0,0,0.016101331,0.022327179,0,0,0,0,0,0,0.000644053,0,0.005581795,0.001288106,0,0,0.001502791,0.027050236,0,0,0,0,0.00193216,0,0,0,0,0,0,0.004937742,0.002146844,0,0.001288106,0
c28,0,0,0.000385397,0,0,0.000140144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001051083,0,0,0.000140144,0.001121155,0,0,0,0,0.000210217,0,0,0,0,0,0,0.000280289,0.000665686,0,0,0
c29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000569736,0,0,0.000341841,0.000341841,0.002506837,0,0,0,0,0.00079763,0,0,0,0,0,0.000569736,0,0.000569736,0.000341841,0,0,0,0.000455789,0,0.011394713,0.031905196,0
c2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001115449,0,0.001115449,0.002230898,0,0,0.001115449,0.001115449,0,0,0,0,0.003346347,0,0,0,0.018404908,0,0,0.00376464,0.001115449,0,0.001115449,0
c30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000558737,0,0.000419053,0.000838106,0,0,0.000419053,0.000419053,0,0,0,0,0.002095265,0,0,0.001257159,0,0,0,0.001396843,0.000419053,0,0.000419053,0
c31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004263094,0,0,0.00182704,0,0,0,0,0,0.007917174,0,0,0,0.005176614,0.00091352,0,0.00182704,0.001218027,0,0,0
c32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c33,0,0,0,0,0,0,0,0,0,0.000364644,0,0,0,0,0,0,0,0,0,0,0.000218786,0,0,0.000437573,0,0,0.002114936,0,0,0,0,0,0.001166861,0,0,0,0,0.001750292,0,0.000437573,0,0.000875146,0.001531505,0
c34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001542466,0.00115685,0.002120891,0.004048973,0.000964041,0,0.000385617,0,0,0.000385617,0,0,0,0.000385617,0,0,0,0,0.005495035,0,0,0,0.000385617,0.000771233,0,0.00163887,0.003470549,0,0.00163887,0.000964041
c35,0.001155278,0.001155278,0.002310556,0.001754311,0,0,0.001240854,0.000641821,0.000385093,0,0,0,0.002310556,0,0,0,0,0,0,0,0.000128364,0,0.000984126,0.000256728,0,0,0.000727397,0.00111249,0,0,0,0,0.000385093,0,0,0,0.000128364,0,0,0.000941338,0.000556245,0,0.000128364,0
c36,0,0,0,0,0,0,0,0,0,0,0.001556247,0.002445531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000666963,0,0,0,0,0,0,0.000889284,0,0,0,0
c37,0,0,0.000287094,0,0,0,0,0,0,0,0.000313193,0.000365392,0,0,0.000495889,0,0,0,0,0,0,0,0.000704685,0.000156597,0,0,0.002244552,0.002453347,0,0,0,0,0.000130497,0.00185306,0,0,0,0,0,0.000130497,0,0,0.000652486,0
c38,0,0,0,0,0,0,0,0.000782609,0,0,0,0,0,0,0,0,0.000956522,0.002,0,0.000608696,0,0.001565217,0,0,0,0,0.000608696,0,0,0,0,0,0.000521739,0,0.00226087,0.001826087,0,0.000956522,0,0.00026087,0,0.004086957,0.014956522,0
c39,0,0,0,0,0,0,0,0,0,1.354085603,0,0,0,0,0,0,0,0.035019455,0,1.194552529,0.023346304,0,0.015564202,0.233463035,0,0,2.276264591,0.054474708,0,0,0,0,0.33463035,0.050583658,0,0.054474708,0,0.058365759,0,0.054474708,0.019455253,0.050583658,0.070038911,0
c3,0,0,2.13E-05,0,5.69E-05,0,7.11E-05,2.13E-05,2.13E-05,9.25E-05,3.56E-05,0.000113837,0,0,9.25E-05,0,0,0,0,2.85E-05,5.69E-05,0,0.000142296,0.001992145,0.000170755,0,0.000391314,0.000434003,2.85E-05,0,0,9.96E-05,0.000412659,2.13E-05,0,0,0.000640332,0.000149411,2.85E-05,0.001252206,0.000618988,0,0.000184985,0.000106722
c40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007731959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001718213,0,0,0,0,0,0,0.00128866,0,0,0,0
c42,0,0,0,0,0,0,0,0,0,0,0,0,0.00044027,0,0,0,0,0,0,0,0.000146757,0,0.00044027,0.000293513,0,0,0.001271891,0.000929459,0,0,0,0,0.00044027,0,0,0,0,0,0,0.000538108,0.000146757,0,0.000146757,0.004011349
c43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000898473,0,0,0,0.001347709,0,0,0,0,0.001347709,0,0,0,0,0,0,0.001347709,0.001123091,0,0,0
c44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000635324,0,0,0,0,0,0,0,0,0.005082592,0,0,0,0,0,0,0.000476493,0,0,0,0
c46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002665245,0,0,0,0,0,0.000852878,0,0,0,0,0,0,0,0,0.000426439,0,0,0.000959488,0,0,0,0.000319829,0,0,0,0
c47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000826037,0,0,0,0,0,0.001982488,0,0,0,0,0,0,0,0,0.000247811,0,0,0.000991244,0,0,0,0.000247811,0,0,0,0
c48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077302632,0,0,0.075657895,0.004934211,0,0,0.004934211,0,0,0,0
c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000478057,0,0.000478057,0.000956114,0,0,0.000478057,0.000478057,0,0,0,0,0.001625394,0,0,0,0,0,0,0.001625394,0.000478057,0,0.000478057,0
c51,0,0,0.000377786,0,0,0,0.000755572,0,0,0,0.001133359,0.00201486,0,0,0,0,0.000377786,0,0,0,0,0,0.000629644,0,0,0,0.000629644,0.000503715,0.000503715,0,0,0,0.000503715,0,0,0,0,0,0,0.002266717,0,0,0,0
c52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000361925,0.000542888,0,0,0.001176258,0.000814332,0,0,0,0,0.001266739,0,0,0,0,0,0,0.001447702,0.001628664,0,0.000271444,0
c57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001576746,0,0,0,0,0,0.00082265,0,0,0.000411325,0.001405361,0,0,0,0,0,0,0,0.000445602,0,0,0,0.014327826,0,0,0.000205663,0,0,0,0
c5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001119507,0,0.001959138,0.00447803,0,0,0.004198153,0.001399384,0,0,0,0,0.003358522,0,0,0,0,0,0,0.003918276,0.001119507,0,0.001119507,0.012314582
c62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00069029,0,0,0,0,0,0,0,0,0,0.00069029,0,0,0,0,0,0,0.00069029,0,0,0,0
c64,0,0,0,0,0,0,0,0,0,0.001496446,0,0,0,0,0,0,0,0.00010203,0,0.00117335,0,0.000187056,0,0.000272081,0,0,0.002397715,0.000136041,0,0,0,0.000204061,0.000221066,0,0,0,6.80E-05,0.000170051,0,6.80E-05,0,0.002992892,6.80E-05,0
c7,0,0,0.003968254,0,0.004578755,0,0,0,0,0,0,0,0.001831502,0,0,0,0,0,0,0,0.001221001,0,0.003052503,0.002442002,0,0,0.002136752,0.007936508,0,0,0,0,0.003968254,0,0,0,0,0,0,0.005189255,0.003052503,0,0.001221001,0
c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148155,0,0.002716184,0.000888933,0,0,0.000642007,0.002222332,0.000987703,0,0,0,0.001679095,0,0.000592622,0,0.000148155,0,0.000246926,0.001086473,0.003654501,0,0.000148155,0
chub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001148303,0,0,0,0,0,0.001033473,0,0,0.000344491,0.000172246,0,0,0,0,0.000574152,0,0,0.003215249,0,0,0,0.000172246,0,0,0,0
d10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016842105,0,0,0,0,0,0,0,0,0.03,0.014736842,0,0,0.005789474,0.042631579,0,0,0,0,0.003157895,0,0,0,0.002105263,0,0,0.042631579,0.003157895,0,0.002631579,0
d11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006724304,0,0,0.000205846,0,0,0,0,0,0,0,0,0,0.000274461,0.000411692,0,0,0.000274461,0,0,0
d12,0,0,0,0,0,0,0.000830565,0.000830565,0.000830565,0,0.009492169,0.009848125,0,0,0,0,0,0,0,0,0.000593261,0,0.000593261,0.003796868,0,0,0.003559563,0.00225439,0,0,0,0,0.002135738,0.001423825,0,0,0,0.000949217,0,0.002373042,0.002610346,0,0.000593261,0
d1,0,0,0,0,0,0,0,0,0,0.010957428,0,0,0,0,0,0,0,0,0,0.004850009,0.0017963,0,0.00215556,0.005029639,0,0,0.013472247,0.003951859,0,0,0,0.003772229,0.006287049,0,0,0,0,0,0,0.066463086,0.004490749,0,0.004131489,0
d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007239741,0,0,0.004694294,0,0,0,0,0,0,0,0,0,0,0,0.003381911,0.003432387,0,0,0
d5,0,0,0,0,0.007038256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024747417,0,0,0,0,0,0,0,0,0.002043365,0,0,0.005903054,0,0,0,0
d6,0,0,0.018127127,0,0,0,0.007836618,0.003799573,0,0.000554104,0,0.002612206,0.016702288,0,0,0,0,0,0,0,0.000949893,0,0.005778517,0.037520779,0,0,0.012823557,0.024301433,0,0,0,0.003403784,0.00316631,0.000395789,0,0,0.005541043,0.003007995,0,0.013219346,0.005224412,0,0.001108209,0.015435763
d7,0,0,0.003809301,0,0,0,0.000747838,0.000701098,0.000607619,0.001460622,0,0.000812106,0.007741295,0.000578406,0.001326244,0,0,0,0,0,4.67E-05,0,0.001589156,0.003365272,0,0,0.001939706,0.005036223,0,0,0,0.000958168,0.000420659,0,0,0,0.001332087,9.93E-05,0,0.002196775,0.001928021,0,0.00011685,0.000671886
d8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012021983,0.003549347,0,0,0,0,0.005610259,0,0.000915961,0.004121823,0.028280284,0,0.024272956,0.001144951,0,0,0,0,0.031944126,0,0,0.000343485,0.130524387,0,0,0.005037783,0.001030456,0,0.030684681,0
d9,0,0,0,0,0,0,0.002405063,0.000506329,0.000886076,0,0,0,0,0,0,0,0,0,0,0,0.004303797,0,0.002531646,0.002278481,0,0,0.012911392,0.018987342,0,0,0,0,0.004050633,0,0,0,0,0,0,0.018734177,0.021392405,0,0.004303797,0
e12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000425894,0,0,0,0,0,0.009653606,0.007595116,0,0.000212947,0,0,0,0,0,0,0.00028393,0.000425894,0,0,0.000212947
e13,0.000212947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001135718,0,0,0,0.000567859,0,0.009795571,0.014054514,0,0.000425894,0,0,0,0,0,0,0.001277683,0.001135718,0,0,0
e14,1.082352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070588235,0,0.070588235,0.376470588,0,0,0.105882353,0.176470588,0,0,0,0,0.235294118,0,0,0,0,0,0,1.294117647,5.352941176,0,0.070588235,0
e15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000784651,0,0,0,0,0.000126557,0,7.59E-05,0.000404981,0,0,0.000227802,0.000809963,0,0,0,0,0.000455604,0,0,0,0.000202491,0.000911208,0,0.001164321,0.000632783,0,7.59E-05,0
e16,0,0,0,0,0,0,0,0.002466921,0,0,0,0,0,0,0,0,0,0,0,0,0.001794124,0,0.002915452,0.002915452,0,0,0.000448531,0.003139717,0,0.000672797,0,0,0.002466921,0,0,0,0.001569859,0.00123346,0,0.002915452,0.00403678,0,0.000448531,0
e17,0,0.00032985,0,0,0,0,4.50E-05,4.50E-05,0,0,0,0,0,0.000179918,0,0,0,0,0,0,0,0,7.50E-05,0.001259427,0,0,0.00188914,0.000164925,0,0,0,0,0.000209904,0,0,0,0.000359836,0.000104952,0.000809632,0.000164925,0.000389823,0,0.000299864,0.000884598
e18,0,0,0,0,0,0,0.005725532,0.010019682,0.001968152,0,0,0,0,0,0,0,0,0,0,0,0.001610306,0,0.006620147,0.003936303,0,0,0.005546609,0.010377527,0.002147075,0,0,0,0.007693684,0,0,0,0.00250492,0,0,0.019502594,0.009125067,0,0.001968152,0
e1,0,0.004446188,0.000523081,0,0,0,0,0,0,0,0,0,0.000392311,0,0,0,0,0,0,0,0.000588466,0,0.000653851,0.003269256,0,0,0.005688505,0.000850007,0,0,0,0,0.002484634,0,0,0,0,0,0,0.004903884,0.000784621,0,0.001961554,0.033869491
e21,0,0,0,0,0,0,0,0,0,0,0.006716611,0.007749935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000774994,0,0,0,0,0,0,0.000774994,0,0,0,0,0,0,0,0,0,0
